artist	title
DJ Vianu	Driving Me Crazy (Original Mix)
SEREBRO	СЛАДКО (Phonk Remix)
Ava Max	Sweet but Psycho
Жолдасбек Абдиханов	Жүрегіңнің есігін аш-аш
Dani Corbalan	Falling In Love (Radio Edit)
Ольга Бузова	Принимай меня
MIA BOYKA	Есть у берега река
MIA BOYKA	Туманная Магистраль
Кучин Иван	Два ветерана
Филипп Киркоров	Чёрная пантера
Chapman	Забывай
Сергей Бобунец	Вечность встанет с нами рядом (live)
Кучин Иван	Дюймовочка
VUDOO	Это всё пустяк
Семен Розов	Слёзы
Кристина	Украла твоё сердце
ТАКЕР	С последней встречи
Денис Клявер	Любовь с первого взгляда (DJ Sasha First Remix)
Dzhenis	Дымом никотина
lonov	Вальс
NITI DILA	Танцуй, шальная
Виктор Могилатов	Танцовщица
Martik C	Megamix
NAIMAN	Бесстыжая
MIROLYBOVA	Хочу на море
Ava Max	Salt
TOLIKA	За окнами
Перфе	Занято
Ильмира Нагимова	Кагылмыйк уткэннэргэ
Жасмин	Девчонка из Дербента
MIRAVI	Цветы
Рустам Батербиев	Деловая
Ирина Кайратовна	Кеттiк
Kambulat	Как есть (prod. by Mag Luzi)
Артём Качер	Сердце в сердце
Zoloto	XI XI XI
KALVADOS	А мне бы просто...
Лёша Джей	Лада пломбир
RISHA	Оставайся
Roma Ricci	Девочка ромашка
Zeleno	Танцуй цаца
Korg S	The Sea Without You
MeMaria	Февраль
Те100стерон	Ничего не значит
Khakingu	Дикий яд
ГЛАВНАЯ РОЛЬ	Умные не ревнуют
ALEKSIA	я люблю тебя
Кровавый Риф	Ассоль
Алёна Петровская	Кто-то третий [А кто-то третий]
Stazzy	Море
Алёна Петровская	Рябина
Алёна Петровская	Знай [А ты знай]
ZIYDDIN	Мой мир пустой
Valer	Mard Exeq
Шамиль Кашешов	Карие глаза
Алексей Ром	Ты моя вселенная
ЭGO	Она бомба
Ринат Закураев	Полюбил я не ту
Dani Corbalan	Be As I Am (Radio Edit)
Dani Corbalan	Be As I Am (Original Mix)
SOLDATOV	Летний дождь
KOVALEVA	Прости меня
Жак Энтони	Одна (Prod. by Young Alex)
Алексей Ром	Зачем
Devran & Chanan	Бармен
Ночные Снайперы	улисс
Adelitas Way	Drifting
LXE	Дали
Elnur Valeh	Qurban Olum
АлСми	Дурные времена (producer АлСми)
Fun Mode	Рыцарь И Королева
Кондрат Эккерт	Ты только позови
Pavlos Bouros	Самая сладкая
Azzi	Мили
МУЖИК из СИБИРИ (Александр Конев)	День рождения
Idris & Leos	Эйфория
DaniLeigh	Lil Bebe
Ramil'	Цветы
Powerwolf	Killers with the Cross
Powerwolf	Where the Wild Wolves Have Gone
Powerwolf	Stossgebet
Powerwolf	Nightside of Siberia
Powerwolf	Venom of Venus
Рондо	Когда ты скажешь прощай
Шура	Важное что-то
Дети Фристайла	А ты попала
Miyagi & Эндшпиль	Look at the Scars
Miyagi & Эндшпиль	Fuck the Money
H1GH	Быть хорошими людьми (white robber prod.)
Miyagi & Эндшпиль	Listen to Your Heart
Kamik	Если ты уйдёшь
Miyagi & Эндшпиль	Я хочу любить
Артур Текеев	Вот так бывает
Ганвест	Никотин
Нейромонах Феофан	Так и знай
КОСМОНАВТОВ НЕТ	ТВОИ ГЛАЗА
Антон Небо	Тет-а-тет
Ислам Итляшев	Между нами стена
Алмас Багратиони	Мысли
Xcho	6.3
Марк Тишман	КТО В КОСМОСЕ
ВЕРСИЯ НАРОДНАЯ	Ебанашки
KhaliF	А любовь умирает
Billie Eilish	you should see me in a crown
EMIN	Такая одна
H1GH	Песня про мужское счастье (white robber & hoodcap prod.)
Ehaam	Bezan Baran
Вусал Мирзаев	Заманила
Ислам Итляшев	Не сожалею
Дамир Гуагов	Не лги
Ariana Grande	God is a woman
NARIMAN BALICH	Qırımda Yaşa (feat. Asiye Saale)
Powerwolf	Incense & Iron
Bunyod Jumaniyozov	Erkak yig'lamasin
ABI	Бала
Руслан Малаев	А море чёрное
Старик ШОМА	Годы летят
RILTIM	Clouds
Этери Бериашвили	Осталась
Miyagi & Эндшпиль	Hustle
Chapman	Не целуй
Fun Mode	Рыцарь Смерти
VERBEE	На море
Александр Марцинкевич	Давай убежим
Carlas Dreams	Lacrimi Si Pumni In Pereti
Abakus	Go Carry The Dream (Watch The Eagle Fly) (Warm Mix)
Anton Lacosta	Lonely
MALFA	So Long (Alex Spite Remix)
Анри	Lo siento
MUJEVA	Прогадала (prod. by Yurafaust)
ЭGO	Сарафан
Miyagi & Эндшпиль	Дама
MIMITON	Лето вдыхай
